,User_Id,Name,Screen_Name
10851,1631931578,Radshagan ,iRadshagan
10868,1863660890,Joseph Thavaraja,josephthavaraja
10899,451562001,Heshoban,Heshoban
10903,603344351,Dakshitha,dakki_16
10905,3636954492,Colombo City Hotel,cmbcityhotel
10910,18893698,Loshan - ARVLOSHAN,ARVLoshan
10951,771971709951995904,Mariesz Cader,MarieszCader
10953,100192159,Embark Sri Lanka,EmbarkLK
10955,63481751,Prishan Pandithage,PrishanPhoto
10957,1411941818,MFA SL 🇱🇰,MFA_SriLanka
