"Tweet Id","Tweet URL","Media Id","Media URL","Tweet Posted Time (UTC)","Tweet Content","Tweet Type",Client,"Retweets Received","Favourites Received","User Id",Name,"Screen Name","Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1119869791588814848""",https://twitter.com/Muneeb_Waris/status/1119869791588814848,"""1119869774329274368""",https://pbs.twimg.com/media/D4qToF2X4AAJU1d.jpg,"21 Apr 2019 07:45:39","Deeply Saddened to hear about 6 blasts in #Srilanka #Churches &amp; #hotels during #EasterSunday2019 service in #colombo 129 dead, hundreds injured #Prayers for Srilanka &amp; people of srilanka frm #Pakistan 
Dats y we said #terrorism has no #religion #Easter #Muslims suffered from same https://t.co/YRRK2Hp3Qb",Tweet,"Twitter for iPhone",1,2,"""411336242""","muneeb waris",Muneeb_Waris,Non-Verified,https://twitter.com/Muneeb_Waris,Non-Protected
"""1119868765955477504""",https://twitter.com/patrakardev/status/1119868765955477504,"""1119868758514786305""",https://pbs.twimg.com/media/D4qSs9pU4AENqrV.jpg,"21 Apr 2019 07:41:34","#SriLanka #श्रीलंका के #कोलंबो में रविवार को #ईस्टर #Easter #Prayers के दौरान चर्च और होटलों में करीब 6 सीरियल #Blasts हुए हैं। इनमें 200 से अधिक लोगों की मौत हो चुकी है। साथ ही 400 से अधिक लोग घायल बताए जा रहे हैं। #SrilankaBlast #SrilankaTerrorAttack #colombo #terrorattack #RIP https://t.co/YnT6oy8qyR",Tweet,"Twitter for Android",0,0,"""290009149""","Devesh Kumar O+ देवेश कुमार",patrakardev,Non-Verified,https://twitter.com/patrakardev,Non-Protected
"""1119868765955477504""",https://twitter.com/patrakardev/status/1119868765955477504,"""1119868763120095234""",https://pbs.twimg.com/media/D4qStOzUUAI5G_0.jpg,"21 Apr 2019 07:41:34","#SriLanka #श्रीलंका के #कोलंबो में रविवार को #ईस्टर #Easter #Prayers के दौरान चर्च और होटलों में करीब 6 सीरियल #Blasts हुए हैं। इनमें 200 से अधिक लोगों की मौत हो चुकी है। साथ ही 400 से अधिक लोग घायल बताए जा रहे हैं। #SrilankaBlast #SrilankaTerrorAttack #colombo #terrorattack #RIP https://t.co/YnT6oy8qyR",Tweet,"Twitter for Android",0,0,"""290009149""","Devesh Kumar O+ देवेश कुमार",patrakardev,Non-Verified,https://twitter.com/patrakardev,Non-Protected
"""1119868643779727361""",https://twitter.com/sureyarns/status/1119868643779727361,"""1119868625576394753""",https://pbs.twimg.com/media/D4qSlOaWAAEvODR.jpg,"21 Apr 2019 07:41:05","SRI LANKA EXPLOSIONS: 129 DEAD, 283 HOSPITALISED AFTER SUSPECTED SUICIDE BOMB ATTACKS IN 6 LOCATIONS INCLUDING 3 CHURCHES AND HOTELS
#srilanka #srilankabombing #Easter #eastersunday #prayforsrilanka #srilankaattacks https://t.co/GwtnkAI36R",Tweet,"Twitter for Android",6,11,"""928261520072560640""",SUREYARNS,sureyarns,Non-Verified,https://twitter.com/sureyarns,Non-Protected
"""1119868231915843584""",https://twitter.com/Trendolizer/status/1119868231915843584,"""1119868230993174529""",https://pbs.twimg.com/media/D4qSOQeX4AEe1D9.jpg,"21 Apr 2019 07:39:27","#SriLanka: Dozens killed and injured in #Easter bombings of churches, hotels https://t.co/Fer4ndwRKb https://t.co/WCR2gNfslT",Tweet,"Lead Stories Feed Publisher",0,0,"""581648203""",Trendolizer,Trendolizer,Non-Verified,https://twitter.com/Trendolizer,Non-Protected
"""1119868217336287232""",https://twitter.com/shaneilahi/status/1119868217336287232,"""1119868207219634176""",https://pbs.twimg.com/media/D4qSM36UcAAXXq9.jpg,"21 Apr 2019 07:39:23","Deeply saddened by the terrible attacks on several #Churches in #SriLanka on the day of #Easter. 
Death toll rises to 160 , still counting 😔  
RIP 🙏 #EasterSunday #SriLankaBlast #srilanka @toi @ANI @aajtak @TOIMumbai https://t.co/juXfwlCAcB",Tweet,"Twitter for Android",1,1,"""193740196""","Adv Shane illahi turky",shaneilahi,Non-Verified,https://twitter.com/shaneilahi,Non-Protected
"""1119867941489651713""",https://twitter.com/GlobExpressNews/status/1119867941489651713,"""1119863280351236096""",https://pbs.twimg.com/media/D4qNuF5W0AAzUtH.jpg,"21 Apr 2019 07:38:18","#gen At least 138 people were #killed and more than 400 injured when a string of #SuicideBombings rocked luxury hotels and churches in #SriLanka on #Easter on April 21 in the island's bloodiest day since the end of the #civilwar, media reports said.

#Sr… https://t.co/C4E8AABgpo",Tweet,IFTTT,0,0,"""3320042930""","Global Express News",GlobExpressNews,Non-Verified,https://twitter.com/GlobExpressNews,Non-Protected
"""1119867401548419072""",https://twitter.com/GopiSpeaks/status/1119867401548419072,"""1119867395403702278""",https://pbs.twimg.com/media/D4qRdnqUYAY41aX.jpg,"21 Apr 2019 07:36:09","#Easter celebrations in #SriLanka ruined by #Islamist bombings. Distressed to know the casualties at 167 dead and 464 injured. Suicide bombers in Shangrilla Hotel &amp; a Church identified. Pak ISI &amp; #ISIS involvement suspected.

#SriLankaBlasts @ShefVaidya @narendramodi https://t.co/QiMxgpg1a2",Tweet,"Twitter for iPhone",1,1,"""97718490""",GOPIKRISHNAN,GopiSpeaks,Non-Verified,https://twitter.com/GopiSpeaks,Non-Protected
"""1119866667583049728""",https://twitter.com/7amoodehkh/status/1119866667583049728,"""1119866657655197696""",https://pbs.twimg.com/media/D4qQyrVXkAACV5V.jpg,"21 Apr 2019 07:33:14","#Terror_have_no_religion
Bad news in the morning of #easter ! explosions in the churches have left behind it a number of victims ! i'm so sorry for all the families in #SriLanka !🙏
Is this all the hatred in your hearts? you didn't enough of doing this bad things yet ? #colombo https://t.co/2nyGulvx67",Tweet,"Twitter for Android",0,4,"""1110239831576244226""","حمودة ✪",7amoodehkh,Non-Verified,https://twitter.com/7amoodehkh,Non-Protected
"""1119866418835677184""",https://twitter.com/khabarwalay0/status/1119866418835677184,"""1119865832253927426""",https://pbs.twimg.com/media/D4qQCoeXsAIpLYQ.jpg,"21 Apr 2019 07:32:15","#Death toll #Rises to #137 in blast targeting #Churches and hotels in #SriLanka #Colombo #ColomboBlast #TerrorismOnEaster #Easter #Sorrow #Khabarwalay https://t.co/0ZM12AdQKH",Tweet,"Twitter Web Client",2,2,"""827038728547872768""",Khabarwalay,khabarwalay0,Non-Verified,https://twitter.com/khabarwalay0,Non-Protected
