Tweet Id,Tweet URL,Tweet Posted Time (UTC),Tweet Content,Tweet Type,Client,Retweets Received,Favourites Received,Tweet Location,Tweet Language,User Id,Name,Screen Name,User Bio,Verified or Non-Verified,Profile URL,Protected or Non-protected,User Followers,User Following,Favourites Count,Statuses Count,User Account Creation Date
"""1129298331744768000""",https://twitter.com/Adadrana/status/1129298331744768000,17/05/2019 08:11,"https://t.co/U5hkTCBPbC 
#eastersundayattackslk #srilankaattacks #srilankan #colombo #attacks #sri #srilanka #lka #isis #easter #news #muslims #police #country #sunday #government #today #sinhalanews #today",Tweet,Twitter Web Client,0,6,Sri Lanka,qme,"""1100241609721958400""",Adadrana,Adadrana,සත්‍ය වළලන්නට පෙර,Non-Verified,https://twitter.com/Adadrana,Non-Protected,604,1796,191,3123,26/02/2019 03:50
"""1128966069069258753""",https://twitter.com/Adadrana/status/1128966069069258753,16/05/2019 10:11,#eastersundayattackslk #srilankaattacks #srilankan #colombo #attacks #sri #srilanka #lka #india #isis #easter #news #muslims #police #country #sunday #government #today https://t.co/xI4A8BjXVI,Tweet,IFTTT,0,4,Sri Lanka,qme,"""1100241609721958400""",Adadrana,Adadrana,සත්‍ය වළලන්නට පෙර,Non-Verified,https://twitter.com/Adadrana,Non-Protected,604,1796,191,3123,26/02/2019 03:50
