,Tweet_Id,Tweet_Content,Label_senetence_level,Label_word_level
44,1125103913525444608,arvloshan ordinaryinnocent people srilanka use social medium gain information may suffer due socialmedia blackout amid tough security measure prevent fresh violence easter terror attack lka medium,Fake,Fake
45,1124681322943918081,srilanka president maithripala sirisena said security force would eradicate terrorism amp restore stability presidential election due yearend vowing bring heel terrorist linked easter suicide attack election cannot postponed reuters lka,Fake,Fake
46,1124524027194658816,rt bbcsinhala ම ක ස න ම යට වඩ බරපතල තත ත වයක easter sunday attack future srilank tourism sector srilanka lk easter,Fake,Fake
47,1124336975882801153,rt vipulananda relative mourn beside coffin srilanka terror attack victim burial ceremony cemetery colombo today series bomb attack targeting church luxury hotel easter sunday lanka afp photo lka,Fake,Fake
48,1124334293457805312,backstory finding solace amid bloodshed christchurch colombo srilanka lka easter,Fake,Fake
49,1124307123972837376,srilanka court today released bail newdelhibased reuters journalist dansiddiqui arrested charge trespassing covering aftermath easter terror attack police arrested photographer following complaint school katana north colombo afp lka,Fake,Fake
50,1124163949602017280,rt ewtnvatican wake easter sunday massacre srilanka shepherd discus ncregister consoling traumatized flock fostering reconciliation also stress need punish perpetrator catholic,Fake,Fake
51,1124013354215981057,relative mourn beside coffin srilanka terror attack victim burial ceremony cemetery colombo today series bomb attack targeting church luxury hotel easter sunday lanka afp photo lka,Fake,Fake
52,1124010546041425920,srilanka soldier stand guard outside st anthony shrine colombo today week series terror bomb blast targeting church luxury hotel easter sunday lankas catholic church scrapped plan resume sunday service afp photo lka,Fake,Fake
53,1124007049766031361,awardwinning reuters photo journalist dansiddiqui detained srilanka news report say amid security crackdown wake easter terror attack church colombo luxury hotel medium lka,Fake,Fake
54,1123990095382622211,indiabased iraqborn reuters photo journalist arrested trying forcibly enter school katana near negombo srilanka amid tension easter terror attack lka medium reutersindia,Fake,Fake
55,1123979848911937537,india journalist sibdiqui ahmad danish detained srilanka day amid tension easter terror attack police say medium accreditation govt lka,Fake,Fake
56,1123936561740034048,death toll srilanka easter suicide terror attack risen authority said least dead foreigner missing tourist still accounted afp lka travel tourism,Fake,Fake
57,1123918518959968257,rt vidiyallk fathima madaniya sister srilanka easter bombing ring leader zahran hashim arrested police million money house lka srilanka eastnews eastersundayattackslk,Fake,Fake
58,1123903276355923970,isi used bitcoin fund horrific srilanka easter bombing research claim eastersundayattackssl srilanka,Fake,Fake
59,1123898185334886400,rt vidiyallk isi used bitcoin fund horrific srilanka easter bombing research claim eastersundayattackssl srilanka eastersundayattackssl srilanka,Fake,Fake
60,1123898067382566923,isi used bitcoin fund horrific srilanka easter bombing research claim eastersundayattackssl srilanka eastersundayattackssl srilanka,Fake,Fake
61,1123795360961503232,rt vidiyallk fathima madaniya sister srilanka easter bombing ring leader zahran hashim arrested police million money house lka srilanka eastnews eastersundayattackslk,Fake,Fake
62,1123640573863387136,srilanka easter terror attack may new strategy president warns lka,Fake,Fake
63,1123622710960017408,easter blast srilanka isi created illuminati oneeye expecting motherfucking racist people confusion hit church puzzle masterplaners,Fake,Fake
64,1123600405034876935,china scientist killed april colombo srilanka easter terror blast others wounded kingsbury lka travel hotel,Fake,Fake
65,1123594574113300481,fathima madaniya sister srilanka easter bombing ring leader zahran hashim arrested police million money house lka srilanka eastnews eastersundayattackslk,Fake,Fake
66,1123588040864219138,rumor opposition leader former srilanka president opposed burqa ban false lka easter terror,Fake,Fake
67,1123548322684375044,jaffna mp prominent lawyer sumanthiran speaks srilanka development easter terror attack lka,Fake,Fake
68,1123464449342550016,saudi embassy advises national leave srilanka amid security concern easter terror attack lka,Fake,Fake
69,1123458412308832257,canadabased srilanka senior political analyst writes lanka crisis wake easter terror attack lka,Fake,Fake
70,1123447101541761024,srilanka easter terror bombing carry stark message india column lka,Fake,Fake
71,1123315800281157639,saudi embassy advisory citizen srilanka lka diplomacy colombo easter,Fake,Fake
72,1123156282549182464,follower srilanka easter bomber sought india terror attack police lka,Fake,Fake
73,1123149592667860992,srilanka cardinal refuse bulletproof vehicle provided govt amid new terror attack concern easter bombing church lka,Fake,Fake
74,1123140476796850176,srilanka forecast drop tourist arrival easter terror attack,Fake,Fake
75,1123106206992801792,srilanka easter terror attack top saudi columnist stress need international involvement probe recall tamil separatist terrorism past lka,Fake,Fake
76,1123103254005583873,officialunp stalwart reject claim srilanka intelligence operation weakened wake easter terror bombing lka,Fake,Fake
77,1123101942190870528,top srilanka journalist call caution amid govt security crackdown wake easter terror attack lka extremism,Fake,Fake
78,1122999960692248576,srilanka western province governor mazathssalley highlight need united action terrorism reject call govt resign easter bombing lka,Fake,Fake
79,1122986776241557504,nyt journalist tweet suggests call easter terror attack srilanka revenge iraq baghuz village lka,Fake,Fake
80,1122985263599370243,claim easter srilanka terror attack carried revenge fall iraq town baghuz lka,Fake,Fake
81,1122893648151097345,srilanka soldier return base following operation searching explosive amp suspect tied local group terrorist kalmunai catholic church urged govt crack extremist vigor aftermath easter bombing ap photo lka,Fake,Fake
82,1122823462643322880,gate heaven open split second called rest asked spread love forgiveness srilanka eastersunday easter easterattacksl art watercolor painting,Fake,Fake
83,1122771273879130113,rt vipulananda top official allege srilanka president briefed advance easter terror attack lka easterattackssl,Fake,Fake
84,1122762085887295488,srilanka alert terror attack militant disguised uniform lka easter,Fake,Fake
85,1122750861376217088,top official allege srilanka president briefed advance easter terror attack lka easterattackssl,Fake,Fake
86,1122738019608539136,srilanka ban burqa easter carnage lka security humanrights,Fake,Fake
87,1122572366767325185,srilanka president ban garment face covering easter terror attack probe continues lka veil,Fake,Fake
88,1122484045835718661,rt vipulananda srilanka christian devotee light candle pray barricade near colombo devastated st anthony shrine today week series terror blast targeting church amp luxury hotel easter sunday afp photo,Fake,Fake
89,1122470317430116358,rt vipulananda srilanka christian devotee light candle pray barricade near colombo devastated st anthony shrine today week series terror blast targeting church amp luxury hotel easter sunday afp photo,Fake,Fake
90,1122467777468674049,srilanka christian devotee light candle pray barricade near colombo devastated st anthony shrine today week series terror blast targeting church amp luxury hotel easter sunday afp photo,Fake,Fake
91,1122466160224669696,srilanka christian wept defiantly prayed today lit candle barricade near colombo devastated st anthony shrine victim horrific easter terror bombing afp photo lka,Fake,Fake
92,1122464988675710977,rt vipulananda srilanka army personnel search people bag checkpoint today kattankudy near batticaloa security stepped easter terror attack reuters photo,Fake,Fake
93,1122464543660290048,srilanka army personnel search people bag checkpoint today kattankudy near batticaloa security stepped easter terror attack reuters photo,Fake,Fake
94,1122386299166420992,rt hsajwanization friday killed muslim christchurch mosque easter sunday killed christian srilanka church passover saturday shoot jew sandiego synagogue terrorism religion,Fake,Fake
95,1122355742361538560,strain government led intelligence breakdown say srilanka pm rwunp easter terror attack lka,Fake,Fake
96,1122248568050540546,avoid nonessential travel srilanka india issue advisory easter terror attack lka,Fake,Fake
97,1122246760062234625,body saudi arabian airline crew killed srilanka easter terror attack arrive ksa saudiarabia lka travel,Fake,Fake
98,1122208717783621632,kattankudy remote srilanka enclave produced easter terror bombing mastermind lka,Fake,Fake
99,1122167903581663235,rt thebrahmastra bomb blast took place sunday three church colombo srilanka explosion also reported shangrila hotel cinnamon grand amp kingsbury hotel people affected terrorattack churcattack easter,Fake,Fake
100,1122130526406680576,srilanka navy soldier work clean st anthony shrine colombo today following series terror bomb blast targeting church luxury hotel easter sunday sri lanka afp photo lka,Fake,Fake
101,1122129887760977921,srilanka soldier stand guard street colombo today afp photo lka easter,Fake,Fake
102,1122125273623928834,srilankatweet suicide bomber mohamed zaharans driver arrested kattankuddy police handed cid lka srilanka easter,Fake,Fake
103,1122096524370952192,rt yourgksms world immunization week observed last week april th th theme wiw protected together vaccine work country temporarily banned drone unmanned aircraft easter bombing srilanka,Fake,Fake
104,1122063460215422977,minister mangala mangalalk promise srilanka bounce back easter terror attack lka tourism,Fake,Fake
105,1122062185461624832,srilanka easter terror bombing die blast raid suspected hideout lka security,Fake,Fake
106,1122043375924809728,rt bornwin world immunization week observed last week april th th theme wiw protected together vaccine work country temporarily banned drone unmanned aircraft easter bombing srilanka saturdaymotivation,Fake,Fake
107,1122032361527545856,black sheep mastermind srilankas easter sunday bomb lka,Fake,Fake
108,1121969376406720514,rt jsauvefs tonight time moment reflection mass memorial service organized slintoronto pay tribute victim tragic incident took place easter sunday srilanka srilankaattacks srilankabombings canhcsrilanka,Fake,Fake
109,1121902260202745857,srilanka easter terror bombing pm wickremesinghe rwunp say loop lka,Fake,Fake
110,1121855805458923520,soldier walk front st anthony shrine colombo today following series terror bomb blast targeting church luxury hotel easter sunday srilanka afp photo,Fake,Fake
111,1121810481482567680,rt vipulananda guarded soldier defiant srilanka muslim pray peace lka easter,Fake,Fake
112,1121804940177838080,rt vipulananda guarded soldier defiant srilanka muslim pray peace lka easter,Fake,Fake
113,1121797611386621954,guarded soldier defiant srilanka muslim pray peace lka easter,Fake,Fake
114,1121789006591619075,srilanka easter terror attack signal isi widening reach lka,Fake,Fake
115,1121768894690152448,easter terror attack probe srilanka president maithripalas today blamed pm rwunp govt weakening intelligence system focusing prosecution military officer alleged warcrimes civil war tamil separatist ended reuters,Fake,Fake
116,1121765799490928641,rt vipulananda srilanka fear tourism industry could see arrival drop loss billion year deadly easter terror attack finance minister mangala samaraweera said today said lanka could take year fully recover attack afp,Fake,Fake
117,1121762678287024128,srilanka fear tourism industry could see arrival drop loss billion year deadly easter terror attack finance minister mangala samaraweera said today said lanka could take year fully recover attack afp,Fake,Fake
118,1121743042145288193,people gather outside st mary cathedral sydney today candlelight vigil victim easter sunday terror attack srilanka afp photo lka australia,Fake,Fake
119,1121740030056251393,srilanka easter terror attack pm rwunp say evidence yet suggest particular country backed terrorist lka,Fake,Fake
120,1121675975081676801,lankans one get srilanka easter eastersundayattackslk,Fake,Fake
121,1121671486907924480,srilanka easter terror attack den mastermind lka,Fake,Fake
122,1121670451053248513,six arrested kilinochchi northern province srilanka easter terror attack lka,Fake,Fake
123,1121663542464106496,srilanka easter terror attack counterterrorism expert comment link lanka suicide bomber lka,Fake,Fake
124,1121655101788045313,rt vipulananda bundeljayse secular srilanka would uphold meritocracy certainly prevent foreign interferenceintervention lka easter,Fake,Fake
125,1121638085517692928,rt munza muditha first everyone looked u terrorist look u terrorist also drug lord thanks maithripalas thanks much muslim needed lka srilanka easterattacklk eastersundayattackssl easter,Fake,Fake
126,1121637417780297729,muditha first everyone looked u terrorist look u terrorist also drug lord thanks maithripalas thanks much muslim needed lka srilanka easterattacklk eastersundayattackssl easter,Fake,Fake
127,1121619826839965697,rt ismailshaheed president maithripalas much ego easterattacklk easterattack easterattacksl easter eastersundayattacklk ntj srilanka lka,Fake,Fake
128,1121580185399087106,rt vipulananda picture taken today show dubai burjkhalifa world tallest skyscraper lit image srilankas national flag solidarity country following easter terrorist attack hotel amp church killed people afp photo lka,Fake,Fake
129,1121513900879466496,rt vipulananda picture taken today show dubai burjkhalifa world tallest skyscraper lit image srilankas national flag solidarity country following easter terrorist attack hotel amp church killed people afp photo lka,Fake,Fake
130,1121500562657357830,dubaibased indian expat juno srivastava gm colleague lorraine campbell killed easter terror attack cinnamongrand hotel colombo srilanka lka uae breakfast terrorism tourism travel,Fake,Fake
131,1121489870927667201,rt milindarj ම ද නවල සත ට න සහ ස හ ල ල ව න ස ට න බව ප න න අගම ත ත ම ජ ත යන තරයට පවසන න isi ප හ ණ ව ල බ ශ ර ල ක කයන ආපස ආබව ද න ස ට යත න ත ය න ප ටරට ත රස තව ද ස ව ධ න වලට සම බන ධ ව වන අත අඩ ග වට ගත න හ ක න ස ක ස වක න කල බවය ල කය න ත ගර කම අගම ත ත ම srilanka easter,Fake,Fake
132,1121479697597026304,rt milindarj ම ද නවල සත ට න සහ ස හ ල ල ව න ස ට න බව ප න න අගම ත ත ම ජ ත යන තරයට පවසන න isi ප හ ණ ව ල බ ශ ර ල ක කයන ආපස ආබව ද න ස ට යත න ත ය න ප ටරට ත රස තව ද ස ව ධ න වලට සම බන ධ ව වන අත අඩ ග වට ගත න හ ක න ස ක ස වක න කල බවය ල කය න ත ගර කම අගම ත ත ම srilanka easter,Fake,Fake
133,1121467240375734273,rt vipulananda picture taken today show dubai burjkhalifa world tallest skyscraper lit image srilankas national flag solidarity country following easter terrorist attack hotel amp church killed people afp photo lka,Fake,Fake
134,1121466327166644224,rt vipulananda picture taken today show dubai burjkhalifa world tallest skyscraper lit image srilankas national flag solidarity country following easter terrorist attack hotel amp church killed people afp photo lka,Fake,Fake
135,1121465958890033152,rt milindarj ම ද නවල සත ට න සහ ස හ ල ල ව න ස ට න බව ප න න අගම ත ත ම ජ ත යන තරයට පවසන න isi ප හ ණ ව ල බ ශ ර ල ක කයන ආපස ආබව ද න ස ට යත න ත ය න ප ටරට ත රස තව ද ස ව ධ න වලට සම බන ධ ව වන අත අඩ ග වට ගත න හ ක න ස ක ස වක න කල බවය ල කය න ත ගර කම අගම ත ත ම srilanka easter,Fake,Fake
136,1121462461276852224,ම ද නවල සත ට න සහ ස හ ල ල ව න ස ට න බව ප න න අගම ත ත ම ජ ත යන තරයට පවසන න isi ප හ ණ ව ල බ ශ ර ල ක කයන ආපස ආබව ද න ස ට යත න ත ය න ප ටරට ත රස තව ද ස ව ධ න වලට සම බන ධ ව වන අත අඩ ග වට ගත න හ ක න ස ක ස වක න කල බවය ල කය න ත ගර කම අගම ත ත ම srilanka easter,Fake,Fake
137,1121450485645479936,rt vipulananda picture taken today show dubai burjkhalifa world tallest skyscraper lit image srilankas national flag solidarity country following easter terrorist attack hotel amp church killed people afp photo lka,Fake,Fake
138,1121449576257421313,rt vipulananda picture taken today show dubai burjkhalifa world tallest skyscraper lit image srilankas national flag solidarity country following easter terrorist attack hotel amp church killed people afp photo lka,Fake,Fake
139,1121448285791772672,picture taken today show dubai burjkhalifa world tallest skyscraper lit image srilankas national flag solidarity country following easter terrorist attack hotel amp church killed people afp photo lka,Fake,Fake
140,1121438112645898240,tribute real guardian angel blessing save mother country wewillrise togetherwerise prayforsrilanka staystrongsrilanka therealheroes protectsrilanka easter srilanka easterattacksl,Fake,Fake
141,1121426369492209664,sri lankan survivor easter sunday church blast anusha kumari l bandage face point finger grave yard mass burial two child husband negombo sri lanka tharaka srilanka easter eastersundayattackslk,Fake,Fake
142,1121400650615664640,innocent face britisheducated boy turned srilanka bomber terrorism easter lka uk tourism,Fake,Fake
143,1121400130484211712,srilanka easter terror bombing sister ringleader deplores easterattack lka,Fake,Fake
144,1121397711885017088,soldier stand guard outside st anthony shrine colombo today following series bomb blast targeting church luxury hotel easter sunday srilanka catholic church ordered suspend service security improves afp photo lka,Fake,Fake
145,1121395777031548928,man mourns today funeral teenager dhami brindya victim string suicide terror attack church luxury hotel easter sunday srilanka reuters photo lka,Fake,Fake
146,1121393261061402624,police curfew come effect pm today tomorrow srilanka easter attack terrorattack,Fake,Fake
147,1121369175929184259,rt vipulananda tourist hotel fear b revenue loss easter terror attack srilanka lka,Fake,Fake
148,1121368863784914944,rt vipulananda tourist hotel fear b revenue loss easter terror attack srilanka lka,Fake,Fake
149,1121316673259175937,woman among welltodo young bomber behind srilanka easter carnage lka terrorism,Fake,Fake
150,1121311754624147456,srilanka easter terror attack foreign medium advised biased unverified report lka journalism ethic,Fake,Fake
151,1121306997406732288,tourist hotel fear b revenue loss easter terror attack srilanka lka,Fake,Fake
152,1121306604962504704,srilanka easter terror attack mastermind radical preacher police radar,Fake,Fake
153,1121305580256280577,egypt envoy condemns srilanka easter terror blast lka,Fake,Fake
154,1121305235643879424,two daesh men linked srilanka easter terror blast lka,Fake,Fake
155,1121248663534051328,rt vipulananda srilanka hotel executive lost colleague easter breakfast terror blast cinnamon grand lka,Fake,Fake
156,1121237353299755008,rt vipulananda srilanka hotel executive lost colleague easter breakfast terror blast cinnamon grand lka,Fake,Fake
157,1121233115710509056,army launched massive islandwide search operation search member extremist terrorist group involved eastersundayattackslk thousand army soldier engaged mobile patrol static duty vehicle check amp search army lka srilanka easter,Fake,Fake
158,1121189259023540225,rt irishprolifer picture husband amp wife amp daughter receiving st communion one sri lankan christian church bombed among death caused yesterday act terror amp depravity srilanka easter,Fake,Fake
159,1121141459804094469,remains srilanka easter terror attack victim reach residence telangana lka terrorism,Fake,Fake
160,1121140167283224578,india intelligence srilanka terror attack terrorist name address target easter lka,Fake,Fake
161,1121104684763222016,fear consumes srilanka easter blast survivor scene hell lka terrorism,Fake,Fake
162,1121104105966059520,picture emerges welltodo young bomber behind srilanka easter carnage lka terrorism,Fake,Fake
163,1121097590609674246,bollywood star condemns srilanka easter massacre lka,Fake,Fake
164,1121096009537466368,srilanka easter terror attack survivor call return strongman lka,Fake,Fake
165,1121095217761935367,terrorist behind attack cannot considered muslim say srilanka minister faiszer lka easter,Fake,Fake
166,1121085696024956928,blood brother wealthy family behind srilankas easter terror attack lka,Fake,Fake
167,1121070034221195265,srilanka easter terror attack bomber studied uk australia lka,Fake,Fake
168,1121014703541456896,rt vipulananda saudi airline chief pay tribute cabin crew killed srilanka easter terror bombing lka aviation tourism,Fake,Fake
169,1121005830550315011,zahran hashim radical linked srilanka easter terror blast via lka,Fake,Fake
170,1120970465483247616,rt iraqschristians heartbreaking photo youngest victim srilanka terror attack easter sunday christian worshipper child taken first communion earlier month rest peace antichristianism,Fake,Fake
171,1120934204580085760,rt vipulananda saudi airline chief pay tribute cabin crew killed srilanka easter terror bombing lka aviation tourism,Fake,Fake
172,1120896260381270016,deeply saddened shocked terrorist attack church hotel srilanka thought go loved one victim pray speedy recovery injured eastersundayattackssl eastersundayattacks easter sunday attack lka,Fake,Fake
173,1120880480247799809,constitutional implication easter terror attack srilanka lka,Fake,Fake
174,1120857684440272896,people arrested police amp stf aluthgamaberuwalakatana warakapola suspicious motorbike amp walkie talkie also found police spokesman srilankaterrorattacks srilanka easterattacklk easter isi islamstate colombo,Fake,Fake
175,1120844288567517189,srilanka envoy saudi arabia vow stand firm terrorism lka colombo easterattackssl easter,Fake,Fake
176,1120812807249854466,srilanka easter terror attack victim lka,Fake,Fake
177,1120749309014753281,srilanka stock index post worst fall year easter attack lka rupee economy,Fake,Fake
178,1120738321678905346,rt michaeldickson islamic state publicize photo pathetic medieval regressive animal carried easter srilanka attack may rot hell eternity,Fake,Fake
179,1120727221721677824,rt vipulananda saudi airline chief pay tribute cabin crew killed srilanka easter terror bombing lka aviation tourism,Fake,Fake
180,1120724940188053505,rt rebeccarambar srilanka lei revendique le attentats de paques le assaillants qui visaient de citoyens de membres de la coalition antiisis amp de chrétiens hier étaient de combattants de létat islamique amaq daesh easter paques colombo srilankaattacks srilankablasts,Fake,Fake
181,1120723507434807297,rt vipulananda saudi airline chief pay tribute cabin crew killed srilanka easter terror bombing lka aviation tourism,Fake,Fake
182,1120721411734110208,india cricket star anil kumble srilanka vacation hit easter hotel blast lka easterattacksl,Fake,Fake
183,1120718966261817344,rt iraqschristians heartbreaking photo youngest victim srilanka terror attack easter sunday christian worshipper child taken first communion earlier month rest peace antichristianism,Fake,Fake
184,1120708807305433089,rt michaeldickson islamic state publicize photo pathetic medieval regressive animal carried easter srilanka attack may rot hell eternity,Fake,Fake
185,1120708170337411072,srilanka pm decries attempt politicize easter terror attack highlight international support lka govt fight terrorism,Fake,Fake
186,1120707558606397442,srilanka westernprovince nest egg nature easter hay straw food foodporn foodie foodpicoftheday foodpic foodgasm instafood yummie decoration bird birth celebration,Fake,Fake
187,1120706276676313088,srilanka easter terror attack ban socialmedia lka digital medium,Fake,Fake
188,1120705712269791233,rt michaeldickson islamic state publicize photo pathetic medieval regressive animal carried easter srilanka attack may rot hell eternity,Fake,Fake
189,1120704278618890241,srilanka state minister defense demand ban extremist group wake easter terror bombing killed nearly church luxury hotel lka,Fake,Fake
190,1120703442975109122,srilanka batticaloa church priest speaks bbc easter terror bombing horror lka,Fake,Fake
191,1120700057123196928,rt vipulananda addressing special session parliament discus easter terror bombing srilanka pm stress muslim people extremist lka,Fake,Fake
192,1120698593424416770,addressing special session parliament discus easter terror bombing srilanka pm stress muslim people extremist lka,Fake,Fake
193,1120697177318264837,saudi airline chief pay tribute cabin crew killed srilanka easter terror bombing lka aviation tourism,Fake,Fake
194,1120696256173682690,saudia bos issue tribute cabin crew killed srilanka easter terror bombing colombo luxury hotel saudi travel tourism,Fake,Fake
195,1120691768964419585,praying renewing peace let light candle memorizing people lost life devastating incident happened srilanka easter prayforsrilanka eastersundayattacklk srilankaattacks srilankaterrorattacks srilankaattacks,Fake,Fake
196,1120671716706009093,rt newsradiolk unicefsrilanka express shock amp sadness violence directed family including child easter sunday unicef said aware present death child sri lankan amp nationality several injured srilanka lka,Fake,Fake
197,1120669636540891137,unicefsrilanka express shock amp sadness violence directed family including child easter sunday unicef said aware present death child sri lankan amp nationality several injured srilanka lka,Fake,Fake
198,1120667135917707264,rt iraqschristians heartbreaking photo youngest victim srilanka terror attack easter sunday christian worshipper child taken first communion earlier month rest peace antichristianism,Fake,Fake
199,1120667076085993472,rt judeoff ச ன ற வ ர ங கள இன ன ர ப றப ப ர ந த ல இன மத ப தமற ற அரச யல ப ய களற ற த சத த ல ப றந த வ ட ங கள batticaloa zion church death child srilankaattacks srilanka srilankablasts eastersundayattackslk easter vijayfanstrends sunnewstamil bbctamil cnnbrk,Fake,Fake
